Detached,AgeBand,Cwi,Loft,Dg,Cond,Swi,Ashp,Gshp,Bio,Pv,Shw,Total Used Energy
0,8,1,1,1,0,0,0,0,0,0,1,6095.279205
0,8,0,0,1,0,0,1,0,0,0,1,4269.716856
0,8,1,0,1,0,0,1,0,0,0,1,4164.414228
0,8,0,1,1,0,0,1,0,0,0,1,4156.774984
0,8,1,1,1,0,0,1,0,0,0,1,4045.999249
0,8,0,0,1,0,0,0,0,1,0,1,8288.683893
0,8,1,0,1,0,0,0,0,1,0,1,7940.200899
0,8,0,1,1,0,0,0,0,1,0,1,7915.771642
0,8,1,1,1,0,0,0,0,1,0,1,7566.184433
0,8,0,0,1,0,0,0,0,0,1,0,6978.431828
0,8,1,0,1,0,0,0,0,0,1,0,6698.306754
0,8,0,1,1,0,0,0,0,0,1,0,6678.803685
0,8,1,1,1,0,0,0,0,0,1,0,6401.206915
0,8,0,0,1,0,0,1,0,0,1,0,4054.019675
0,8,1,0,1,0,0,1,0,0,1,0,3944.828143
0,8,0,1,1,0,0,1,0,0,1,0,3937.206932
0,8,1,1,1,0,0,1,0,0,1,0,3826.714931
0,8,0,0,1,0,0,0,0,1,1,0,8856.90015
0,8,1,0,1,0,0,0,0,1,1,0,8513.40895
0,8,0,1,1,0,0,0,0,1,1,0,8489.040393
0,8,1,1,1,0,0,0,0,1,1,0,8135.955323
0,8,0,0,1,0,0,0,0,0,1,1,6674.890139
0,8,1,0,1,0,0,0,0,0,1,1,6393.877643
0,8,0,1,1,0,0,0,0,0,1,1,6374.306053
0,8,1,1,1,0,0,0,0,0,1,1,6095.279205
0,8,0,0,1,0,0,1,0,0,1,1,4269.716856
0,8,1,0,1,0,0,1,0,0,1,1,4164.414228
0,8,0,1,1,0,0,1,0,0,1,1,4156.774984
0,8,1,1,1,0,0,1,0,0,1,1,4045.999249
0,8,0,0,1,0,0,0,0,1,1,1,8288.683893
0,8,1,0,1,0,0,0,0,1,1,1,7940.200899
0,8,0,1,1,0,0,0,0,1,1,1,7915.771642
0,8,1,1,1,0,0,0,0,1,1,1,7566.184433
0,8,1,0,1,1,0,0,0,0,0,0,8492.902743
0,8,1,0,1,0,0,1,0,0,0,0,3445.642244
0,6,1,0,1,1,0,0,0,0,0,0,13038.03704
0,6,1,1,1,1,0,0,0,0,0,0,12723.12071
0,6,1,0,1,0,0,1,0,0,0,0,5922.777018
0,6,1,1,1,0,0,1,0,0,0,0,5836.888632
0,6,1,0,1,1,0,0,0,0,0,1,10581.89863
0,6,1,1,1,1,0,0,0,0,0,1,10323.09566
